Timestamp;GimbalPitchPos;Gyro;MotorTransAngle;GimbalYawPos;Gyro
4000;1.078860E+001;1.287576E+001;1.081055E+001;1.440977E+002;1.440882E+002
18000;1.078860E+001;1.286630E+001;1.081055E+001;1.440977E+002;1.440873E+002
33000;1.078860E+001;1.288301E+001;1.081055E+001;1.440977E+002;1.440872E+002
47000;1.078860E+001;1.287447E+001;1.085449E+001;1.440977E+002;1.440871E+002
61000;1.078860E+001;1.286222E+001;1.081055E+001;1.440977E+002;1.440870E+002
76000;1.078860E+001;1.286357E+001;1.081055E+001;1.440977E+002;1.440864E+002
90000;1.078860E+001;1.285403E+001;1.081055E+001;1.440977E+002;1.440863E+002
105000;1.078860E+001;1.285231E+001;1.081055E+001;1.440977E+002;1.440866E+002
119000;1.078860E+001;1.285746E+001;1.085449E+001;1.440977E+002;1.440859E+002
133000;1.078860E+001;1.286827E+001;1.081055E+001;1.440977E+002;1.440865E+002
147000;1.078860E+001;1.285155E+001;1.081055E+001;1.440977E+002;1.440869E+002
161000;1.078860E+001;1.285526E+001;1.081055E+001;1.440977E+002;1.440860E+002
175000;1.078860E+001;1.286477E+001;1.081055E+001;1.440977E+002;1.440872E+002
189000;1.078860E+001;1.290592E+001;1.081055E+001;1.440977E+002;1.440880E+002
203000;1.078860E+001;1.289861E+001;1.081055E+001;1.440977E+002;1.440891E+002
218000;1.078860E+001;1.290688E+001;1.081055E+001;1.440977E+002;1.440882E+002
232000;1.078860E+001;1.290260E+001;1.081055E+001;1.440977E+002;1.440887E+002
246000;1.078860E+001;1.289903E+001;1.081055E+001;1.440977E+002;1.440892E+002
260000;1.078860E+001;1.290569E+001;1.081055E+001;1.440977E+002;1.440904E+002
274000;1.078860E+001;1.291073E+001;1.081055E+001;1.440977E+002;1.440902E+002
288000;1.078860E+001;1.289930E+001;1.081055E+001;1.440977E+002;1.440903E+002
303000;1.078860E+001;1.289821E+001;1.081055E+001;1.440977E+002;1.440914E+002
318000;1.078860E+001;1.291085E+001;1.081055E+001;1.440977E+002;1.440916E+002
332000;1.078860E+001;1.292534E+001;1.085449E+001;1.440977E+002;1.440910E+002
345000;1.078860E+001;1.293163E+001;1.085449E+001;1.440977E+002;1.440911E+002
360000;1.078860E+001;1.294245E+001;1.081055E+001;1.440977E+002;1.440906E+002
374000;1.078860E+001;1.292543E+001;1.081055E+001;1.440977E+002;1.440911E+002
388000;1.078860E+001;1.291834E+001;1.081055E+001;1.440977E+002;1.440918E+002
403000;1.078860E+001;1.292197E+001;1.081055E+001;1.440977E+002;1.440920E+002
417000;1.078860E+001;1.292148E+001;1.081055E+001;1.440977E+002;1.440914E+002
431000;1.078860E+001;1.292421E+001;1.081055E+001;1.440977E+002;1.440913E+002
445000;1.078860E+001;1.292075E+001;1.085449E+001;1.440977E+002;1.440912E+002
459000;1.078860E+001;1.291819E+001;1.081055E+001;1.440977E+002;1.440913E+002
473000;1.078860E+001;1.291146E+001;1.081055E+001;1.440977E+002;1.440905E+002
488000;1.078860E+001;1.287999E+001;1.081055E+001;1.440977E+002;1.440908E+002
502000;1.078860E+001;1.288770E+001;1.081055E+001;1.440977E+002;1.440903E+002
516000;1.078860E+001;1.290732E+001;1.081055E+001;1.440977E+002;1.440904E+002
530000;1.078860E+001;1.292772E+001;1.081055E+001;1.440977E+002;1.440911E+002
544000;1.078860E+001;1.293760E+001;1.081055E+001;1.440977E+002;1.440917E+002
558000;1.078860E+001;1.292385E+001;1.081055E+001;1.440977E+002;1.440916E+002
572000;1.078860E+001;1.292435E+001;1.081055E+001;1.440977E+002;1.440919E+002
586000;1.078860E+001;1.292697E+001;1.081055E+001;1.440977E+002;1.440920E+002
600000;1.078860E+001;1.292149E+001;1.085449E+001;1.440977E+002;1.440912E+002
614000;1.078860E+001;1.292677E+001;1.081055E+001;1.440977E+002;1.440914E+002
628000;1.078860E+001;1.292302E+001;1.085449E+001;1.440977E+002;1.440902E+002
642000;1.078860E+001;1.290918E+001;1.081055E+001;1.440977E+002;1.440907E+002
656000;1.078860E+001;1.291401E+001;1.081055E+001;1.440977E+002;1.440908E+002
670000;1.078860E+001;1.293213E+001;1.081055E+001;1.440977E+002;1.440912E+002
684000;1.078860E+001;1.292895E+001;1.081055E+001;1.440977E+002;1.440909E+002
698000;1.078860E+001;1.292336E+001;1.081055E+001;1.440977E+002;1.440909E+002
711000;1.078860E+001;1.290951E+001;1.081055E+001;1.440977E+002;1.440889E+002
725000;1.078860E+001;1.291599E+001;1.085449E+001;1.440977E+002;1.440896E+002
739000;1.078860E+001;1.292188E+001;1.081055E+001;1.440977E+002;1.440886E+002
753000;1.078860E+001;1.291028E+001;1.081055E+001;1.440977E+002;1.440880E+002
767000;1.078860E+001;1.289196E+001;1.085449E+001;1.440977E+002;1.440877E+002
781000;1.078860E+001;1.287517E+001;1.081055E+001;1.440977E+002;1.440882E+002
795000;1.078860E+001;1.286871E+001;1.081055E+001;1.440977E+002;1.440879E+002
809000;1.078860E+001;1.288082E+001;1.081055E+001;1.440977E+002;1.440886E+002
824000;1.078860E+001;1.288780E+001;1.081055E+001;1.440977E+002;1.440880E+002
837000;1.078860E+001;1.287601E+001;1.081055E+001;1.440977E+002;1.440876E+002
851000;1.078860E+001;1.287515E+001;1.081055E+001;1.440977E+002;1.440878E+002
865000;1.078860E+001;1.286283E+001;1.081055E+001;1.440977E+002;1.440876E+002
879000;1.078860E+001;1.286693E+001;1.081055E+001;1.440977E+002;1.440884E+002
894000;1.078860E+001;1.286182E+001;1.081055E+001;1.440977E+002;1.440880E+002
908000;1.078860E+001;1.286934E+001;1.085449E+001;1.440977E+002;1.440873E+002
922000;1.078860E+001;1.287096E+001;1.081055E+001;1.440977E+002;1.440878E+002
936000;1.078860E+001;1.287111E+001;1.081055E+001;1.440977E+002;1.440886E+002
