Timestamp;GimbalPitchPos;Gyro;GimbalYawPos;Gyro;MotorTransAngle
1000;2.500000E+001;2.802496E+001;-1.554654E+002;-1.553616E+002;2.518066E+001
15000;2.500000E+001;2.802344E+001;-1.554654E+002;-1.553615E+002;2.522461E+001
28000;2.500000E+001;2.804571E+001;-1.554654E+002;-1.553605E+002;2.518066E+001
42000;2.500000E+001;2.803699E+001;-1.554654E+002;-1.553595E+002;2.513672E+001
56000;2.500000E+001;2.802828E+001;-1.554654E+002;-1.553593E+002;2.518066E+001
71000;2.500000E+001;2.804730E+001;-1.554654E+002;-1.553592E+002;2.522461E+001
84000;2.500000E+001;2.804199E+001;-1.554654E+002;-1.553591E+002;2.513672E+001
98000;2.500000E+001;2.804888E+001;-1.554654E+002;-1.553588E+002;2.513672E+001
111000;2.500000E+001;2.803859E+001;-1.554654E+002;-1.553577E+002;2.513672E+001
125000;2.500000E+001;2.806693E+001;-1.554654E+002;-1.553578E+002;2.522461E+001
139000;2.500000E+001;2.805012E+001;-1.554654E+002;-1.553569E+002;2.518066E+001
152000;2.500000E+001;2.802794E+001;-1.554654E+002;-1.553568E+002;2.518066E+001
166000;2.500000E+001;2.802951E+001;-1.554654E+002;-1.553572E+002;2.522461E+001
179000;2.500000E+001;2.804221E+001;-1.554654E+002;-1.553567E+002;2.513672E+001
192000;2.500000E+001;2.803238E+001;-1.554654E+002;-1.553554E+002;2.518066E+001
206000;2.500000E+001;2.805973E+001;-1.554654E+002;-1.553550E+002;2.513672E+001
220000;2.500000E+001;2.804287E+001;-1.554654E+002;-1.553539E+002;2.518066E+001
234000;2.500000E+001;2.803432E+001;-1.554654E+002;-1.553538E+002;2.522461E+001
248000;2.500000E+001;2.805412E+001;-1.554654E+002;-1.553539E+002;2.513672E+001
261000;2.500000E+001;2.804782E+001;-1.554654E+002;-1.553534E+002;2.522461E+001
275000;2.500000E+001;2.806391E+001;-1.554654E+002;-1.553533E+002;2.518066E+001
288000;2.500000E+001;2.804016E+001;-1.554654E+002;-1.553522E+002;2.518066E+001
301000;2.500000E+001;2.804575E+001;-1.554654E+002;-1.553506E+002;2.518066E+001
314000;2.500000E+001;2.804861E+001;-1.554654E+002;-1.553504E+002;2.513672E+001
