Timestamp;GimbalPitchPos;Gyro;GimbalYawPos;Gyro
2000;2.500000E+001;2.792195E+001;1.778055E+002;1.779612E+002
15000;2.500000E+001;2.792761E+001;1.778055E+002;1.779614E+002
29000;2.500000E+001;2.792756E+001;1.778055E+002;1.779621E+002
42000;2.500000E+001;2.792330E+001;1.778055E+002;1.779626E+002
56000;2.500000E+001;2.792062E+001;1.778055E+002;1.779627E+002
68000;2.500000E+001;2.790941E+001;1.778055E+002;1.779632E+002
81000;2.500000E+001;2.790658E+001;1.778055E+002;1.779635E+002
94000;2.500000E+001;2.792311E+001;1.778055E+002;1.779648E+002
108000;2.500000E+001;2.792326E+001;1.778055E+002;1.779650E+002
121000;2.500000E+001;2.791643E+001;1.778055E+002;1.779654E+002
135000;2.500000E+001;2.790799E+001;1.778055E+002;1.779666E+002
148000;2.500000E+001;2.791055E+001;1.778055E+002;1.779674E+002
161000;2.500000E+001;2.790805E+001;1.778055E+002;1.779679E+002
174000;2.500000E+001;2.791126E+001;1.778055E+002;1.779682E+002
186000;2.500000E+001;2.791578E+001;1.778055E+002;1.779686E+002
200000;2.500000E+001;2.791191E+001;1.778055E+002;1.779686E+002
214000;2.500000E+001;2.790951E+001;1.778055E+002;1.779695E+002
227000;2.500000E+001;2.790698E+001;1.778055E+002;1.779701E+002
240000;2.500000E+001;2.790382E+001;1.778055E+002;1.779704E+002
254000;2.500000E+001;2.790027E+001;1.778055E+002;1.779713E+002
268000;2.500000E+001;2.789663E+001;1.778055E+002;1.779716E+002
282000;2.500000E+001;2.789303E+001;1.778055E+002;1.779722E+002
294000;2.500000E+001;2.788838E+001;1.778055E+002;1.779727E+002
307000;2.500000E+001;2.788721E+001;1.778055E+002;1.779735E+002
321000;2.500000E+001;2.788591E+001;1.778055E+002;1.779740E+002
334000;2.500000E+001;2.788334E+001;1.778055E+002;1.779746E+002
347000;2.500000E+001;2.788086E+001;1.778055E+002;1.779753E+002
360000;2.500000E+001;2.787784E+001;1.778055E+002;1.779758E+002
372000;2.500000E+001;2.787845E+001;1.778055E+002;1.779762E+002
386000;2.500000E+001;2.787698E+001;1.778055E+002;1.779767E+002
400000;2.500000E+001;2.787143E+001;1.778055E+002;1.779769E+002
413000;2.500000E+001;2.786890E+001;1.778055E+002;1.779776E+002
427000;2.500000E+001;2.786884E+001;1.778055E+002;1.779787E+002
441000;2.500000E+001;2.786592E+001;1.778055E+002;1.779788E+002
454000;2.500000E+001;2.786359E+001;1.778055E+002;1.779793E+002
466000;2.500000E+001;2.786469E+001;1.778055E+002;1.779799E+002
479000;2.500000E+001;2.786705E+001;1.778055E+002;1.779806E+002
